trade_id,trade_date,counterparty,instrument,quantity,price,direction,settlement_date,status
TRD-0001,2024-01-16,Goldman Sachs,NVDA,4112,119.37,BUY,2024-01-18,FAILED
TRD-0002,2024-01-23,Goldman Sachs,SPY,620,24.6,BUY,2024-01-25,SETTLED
TRD-0003,2024-01-23,Jane Street,AAPL,9295,107.43,SELL,2024-01-25,SETTLED
TRD-0004,2024-01-22,Jane Street,NVDA,206,381.82,BUY,2024-01-24,FAILED
TRD-0005,2024-01-21,Morgan Stanley,NVDA,2647,115.5,SELL,2024-01-23,SETTLED
TRD-0006,2024-01-16,Citadel,GOOGL,5981,425.27,SELL,2024-01-18,SETTLED
TRD-0007,2024-01-22,Jane Street,GOOGL,6301,48.61,SELL,2024-01-24,FAILED
TRD-0008,2024-01-24,Morgan Stanley,AMZN,1239,32.45,BUY,2024-01-26,PENDING
TRD-0009,2024-01-16,JP Morgan,GOOGL,6327,146.21,SELL,2024-01-18,SETTLED
TRD-0010,2024-01-20,Morgan Stanley,AMZN,4474,353.89,BUY,2024-01-22,FAILED
TRD-0011,2024-01-17,Jane Street,AMZN,2777,236.51,SELL,2024-01-19,FAILED
TRD-0012,2024-01-23,JP Morgan,TSLA,1016,122.23,BUY,2024-01-25,PENDING
TRD-0013,2024-01-21,Morgan Stanley,GOOGL,3556,457.44,SELL,2024-01-23,SETTLED
TRD-0014,2024-01-22,Citadel,QQQ,2440,139.79,BUY,2024-01-24,FAILED
TRD-0015,2024-01-23,Jane Street,NVDA,9677,219.93,SELL,2024-01-25,PENDING
TRD-0016,2024-01-18,JP Morgan,QQQ,1589,380.33,BUY,2024-01-20,SETTLED
TRD-0017,2024-01-17,Citadel,GOOGL,6404,196.99,SELL,2024-01-19,FAILED
TRD-0018,2024-01-19,Jane Street,AAPL,1976,344.04,SELL,2024-01-21,FAILED
TRD-0019,2024-01-20,Goldman Sachs,NVDA,7223,87.5,BUY,2024-01-22,FAILED
TRD-0020,2024-01-19,Jane Street,MSFT,8417,457.19,SELL,2024-01-21,FAILED
TRD-0021,2024-01-23,Jane Street,AMZN,2604,193.22,BUY,2024-01-25,FAILED
TRD-0022,2024-01-23,Goldman Sachs,TSLA,8105,19.54,SELL,2024-01-25,PENDING
TRD-0023,2024-01-18,Goldman Sachs,AMZN,9395,474.01,BUY,2024-01-20,FAILED
TRD-0024,2024-01-22,Goldman Sachs,MSFT,2203,333.28,BUY,2024-01-24,PENDING
TRD-0025,2024-01-23,Jane Street,SPY,3570,465.17,BUY,2024-01-25,FAILED
TRD-0026,2024-01-19,Citadel,TSLA,7277,450.81,SELL,2024-01-21,SETTLED
TRD-0027,2024-01-18,JP Morgan,GOOGL,5639,20.31,BUY,2024-01-20,FAILED
TRD-0028,2024-01-18,Goldman Sachs,GOOGL,1064,122.18,BUY,2024-01-20,PENDING
TRD-0029,2024-01-16,Jane Street,AMZN,4662,337.8,BUY,2024-01-18,FAILED
TRD-0030,2024-01-17,Jane Street,QQQ,4081,394.46,SELL,2024-01-19,SETTLED
TRD-0031,2024-01-16,Goldman Sachs,SPY,5904,217.55,SELL,2024-01-18,FAILED
TRD-0032,2024-01-15,Goldman Sachs,AAPL,6696,366.82,BUY,2024-01-17,SETTLED
TRD-0033,2024-01-18,JP Morgan,QQQ,2396,216.72,SELL,2024-01-20,PENDING
TRD-0034,2024-01-18,Goldman Sachs,QQQ,9116,57.98,BUY,2024-01-20,SETTLED
TRD-0035,2024-01-18,JP Morgan,SPY,8056,245.87,SELL,2024-01-20,SETTLED
TRD-0036,2024-01-17,Citadel,AAPL,6496,139.95,SELL,2024-01-19,PENDING
TRD-0037,2024-01-21,Jane Street,QQQ,2636,103.05,BUY,2024-01-23,SETTLED
TRD-0038,2024-01-24,Jane Street,AAPL,5238,38.01,SELL,2024-01-26,FAILED
TRD-0039,2024-01-23,JP Morgan,AAPL,8420,49.25,BUY,2024-01-25,SETTLED
TRD-0040,2024-01-24,Goldman Sachs,AMZN,6715,68.74,BUY,2024-01-26,FAILED
TRD-0041,2024-01-24,Goldman Sachs,GOOGL,6968,332.11,SELL,2024-01-26,PENDING
TRD-0042,2024-01-18,Morgan Stanley,AMZN,4451,203.94,SELL,2024-01-20,PENDING
TRD-0043,2024-01-20,Goldman Sachs,AAPL,7608,314.37,BUY,2024-01-22,SETTLED
TRD-0044,2024-01-23,JP Morgan,NVDA,2270,467.3,BUY,2024-01-25,SETTLED
TRD-0045,2024-01-20,Morgan Stanley,MSFT,7279,418.54,SELL,2024-01-22,FAILED
TRD-0046,2024-01-23,Goldman Sachs,NVDA,1797,470.08,BUY,2024-01-25,PENDING
TRD-0047,2024-01-16,Goldman Sachs,MSFT,4562,148.06,BUY,2024-01-18,FAILED
TRD-0048,2024-01-20,JP Morgan,NVDA,8380,249.38,BUY,2024-01-22,SETTLED
