trade_id,trade_date,counterparty,instrument,break_type,sig_value,cp_value,difference,severity
TRD-0023,2024-01-18,Goldman Sachs,AMZN,STATUS,FAILED,SETTLED,,HIGH
TRD-0024,2024-01-22,Goldman Sachs,MSFT,QUANTITY,2203,2347,144.0,HIGH
TRD-0025,2024-01-23,Jane Street,SPY,QUANTITY,3570,3732,162.0,HIGH
TRD-0025,2024-01-23,Jane Street,SPY,STATUS,FAILED,SETTLED,,HIGH
TRD-0028,2024-01-18,Goldman Sachs,GOOGL,QUANTITY,1064,1146,82.0,LOW
TRD-0029,2024-01-16,Jane Street,AMZN,PRICE,337.8,339.85,2.05,HIGH
TRD-0030,2024-01-17,Jane Street,QQQ,STATUS,SETTLED,FAILED,,HIGH
TRD-0032,2024-01-15,Goldman Sachs,AAPL,PRICE,366.82,368.9,2.08,HIGH
TRD-0038,2024-01-24,Jane Street,AAPL,PRICE,38.01,41.0,2.99,HIGH
TRD-0038,2024-01-24,Jane Street,AAPL,STATUS,FAILED,SETTLED,,HIGH
TRD-0039,2024-01-23,JP Morgan,AAPL,STATUS,SETTLED,FAILED,,HIGH
TRD-0040,2024-01-24,Goldman Sachs,AMZN,PRICE,68.74,71.28,2.54,HIGH
TRD-0047,2024-01-16,Goldman Sachs,MSFT,STATUS,FAILED,SETTLED,,HIGH
TRD-0048,2024-01-20,JP Morgan,NVDA,PRICE,249.38,253.13,3.75,HIGH
TRD-0052,2024-01-17,Goldman Sachs,NVDA,PRICE,450.5,455.48,4.98,HIGH
TRD-0061,2024-01-20,Citadel,GOOGL,PRICE,450.76,452.68,1.92,LOW
TRD-0069,2024-01-18,Morgan Stanley,AMZN,QUANTITY,3362,3442,80.0,LOW
TRD-0075,2024-01-22,Citadel,NVDA,PRICE,421.53,423.07,1.54,LOW
TRD-0085,2024-01-18,Citadel,TSLA,PRICE,383.0,384.88,1.88,LOW
TRD-0089,2024-01-18,Citadel,NVDA,PRICE,92.22,95.2,2.98,HIGH
TRD-0089,2024-01-18,Citadel,NVDA,QUANTITY,6143,6303,160.0,HIGH
TRD-0095,2024-01-23,Citadel,QQQ,QUANTITY,7236,7271,35.0,LOW
TRD-0096,2024-01-18,Goldman Sachs,NVDA,QUANTITY,7485,7618,133.0,HIGH
TRD-0098,2024-01-22,JP Morgan,TSLA,QUANTITY,4332,4527,195.0,HIGH
